Codigo;Nombre
2023;Fabricación de jabones y detergentes, preparados para limpiar y pulir, perfumes y preparados de tocador.
2029;Fabricación de otros productos quimicos n.c.p.
2030;Fabricación de fibras sintticas y artificiales.
2040;Fabricacion de recipientes de madera
2090;Fabricacion de otros productos de madera fabricacion de articulos de corcho, cesteria y esparteria
2100;Fabricación de productos farmacuticos, sustancias quicas medicinales y productos botnicos de uso farmacutico.
2101;Fabricacion de pastas celulosicas papel y carton
2102;Fabricacion de papel y carton ondulado, fabricacion de envases, empaques y de embalajes de papel y carton
2109;Fabricacion de otros articulos de papel y carton
2211;Fabricación de llantas y neumticos de caucho
2212;Reencauche de llantas usadas
2213;Edicion de materiales grabados
2219;Fabricación de formas basicas de caucho y otros productos de caucho n.c.p.
2220;Actividades de impresion
2221;Fabricación de formas basicas de plastico.
2229;Fabricación de articulos de plastico n.c.p.
2231;Arte, diseno y composicion
2232;Fotomecanica y analogos
2233;Encuadernacion
2234;Acabado o recubrimiento
2239;Otros servicios conexos ncp
2240;Reproduccion de materiales grabados
2310;Fabricación de vidrio y productos de vidrio.
2321;Fabricacion de productos de la refinacion del petroleo, elaborados en refineria
2322;Elaboracion de productos derivados del petroleo, fuera de refineria
2330;Elaboracion de combustible nuclear
2391;Fabricación de productos refractarios.
2392;Fabricación de materiales de arcilla para la construcción.
2393;Fabricación de otros productos de cermica y porcelana.
2394;Fabricación de cemento, cal y yeso.
2395;Fabricación de articulos de hormigón, cemento y yeso.
2396;Corte, tallado y acabado de la piedra.
2399;Fabricación de otros productos minerales no metalicos n.c.p.
2410;Industrias básicas de hierro y de acero.
2411;Fabricacion de sustancias quimicas basicas, excepto abonos y compuestos nitrogenados
2412;Fabricacion de abonos y compuestos inorganicos nitrogenados
2413;Fabricacion de plasticos en formas primarias
2414;Fabricacion de caucho sintetico en formas primarias
2421;Industrias básicas de metales preciosos.
2422;Fabricacion de pinturas, barnices y revestimientos similares, tintas para impresion
2423;Fabricacion de productos farmaceuticos, sustancias quimicas medicinales y botanicos
2424;Fabricacion de jabones y detergentes, preparados para limpiar y pulir perfumes de tocador
2429;Industrias básicas de otros metales no ferrosos.
2430;Fabricacion de fibras sinteticas y artificiales
2431;Fundición de hierro y de acero.
2432;Fundición de metales no ferrosos.
2511;Fabricación de productos metalicos para uso estructural.
2512;Fabricación de tanques, depósitos y recipientes de metal, excepto los utilizados para el envase o transporte de mercancias.
2513;Fabricación de generadores de vapor, excepto calderas de agua caliente para calefacción central.
2519;Fabricacion de otros productos de caucho ncp
2520;Fabricación de armas y municiones.
2521;Fabricacion de formas basicas de plastico
2529;Fabricacion de articulos de plastico ncp
2591;Forja, prensado, estampado y laminado de metal, pulvimetalurgia.
2592;Tratamiento y revestimiento de metales, mecanizado.
2593;Fabricación de articulos de cuchiller, herramientas de mano y articulos de ferreteria.
2599;Fabricación de otros productos elaborados de metal n.c.p.
2610;Fabricación de componentes y tableros electrónicos.
2620;Fabricación de computadoras y de equipo perifrico.
2630;Fabricación de equipos de comunicación.
2640;Fabricación de aparatos electrónicos de consumo.
2651;Fabricación de equipo de medición, prueba, navegación y control.
2652;Fabricación de relojes.
2660;Fabricación de equipo de irradiación y equipo electrónico de uso mdico y teraputico.
2670;Fabricación de instrumentos ópticos y equipo fotogrfico.
2680;Fabricación de medios magnticos y ópticos para almacenamiento de datos.
2691;Fabricacion de productos de ceramica no refractaria, para uso no estructural
2692;Fabricacion de productos de ceramica refractaria
2693;Fabricacion de productos de arcilla y ceramica no refractaria, para uso estructural
2694;Fabricacion de cemento, cal y yeso
2695;Fabricacion de articulos de hormigon, cemento y yeso
2696;Corte, tallado y acabado de la piedra
2699;Fabricacion de otros productos minerales no metalicos ncp
2710;Industrias basicas de hierro y de acero
2711;Fabricación de motores, generadores y transformadores eléctricos.
2712;Fabricación de aparatos de distribución y control de la energía electrica..
2720;Fabricación de pilas, bateriás y acumuladores eléctricos.
2721;Industrias basicas de metales preciosos
2729;Industrias basicas de otros metales no ferrosos
2731;Fabricación de hilos y cables eléctricos y de fibra óptica.
2732;Fabricación de dispositivos de cableado.
2740;Fabricación de equipos eléctricos de iluminación.
2750;Fabricación de aparatos de uso domstico.
2790;Fabricación de otros tipos de equipo elctrico n.c.p.
2811;Fabricación de motores, turbinas, y partes para motores de combustión interna.
2812;Fabricación de equipos de potencia hidrulica y neumtica.
2813;Fabricación de otras bombas, compresores, grifos y vlvulas.
2814;Fabricación de cojinetes, engranajes, trenes de engranajes y piezas de transmisión.
2815;Fabricación de hornos, hogares y quemadores industriales.
2816;Fabricación de equipo de elevación y manipulación.
2817;Fabricación de maquinaria y equipo de oficina (excepto computadoras y equipo perifrico).
2818;Fabricación de herramientas manuales con motor.
2819;Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p.
2821;Fabricación de maquinaria agropecuaria y forestal.
2822;Fabricación de maquinas formadoras de metal y de maquinas herramienta.
2823;Fabricación de maquinaria para la metalurgia.
2824;Fabricación de maquinaria para explotación de minas y canteras y para obras de construcción.
2825;Fabricación de maquinaria para la elaboración de alimentos, bebidas y tabaco.
2826;Fabricación de maquinaria para la elaboración de productos textiles, prendas de vestir y cueros.
2829;Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p.
2891;Forja, prensado, estampado y laminado de metal pulvimetalurgia
2892;Tratamiento y revestimiento de metales trabajos de ingenieria mecanica en general realizados a cambio de una retribucion o por contrata
2893;Fabricacion de articulos de cuchilleria, herramientas de mano y articulos de ferreteria
2899;Fabricacion de otros productos elaborados de metal ncp
2910;Fabricación de vehículo automotores y sus motores.
2911;Fabricacion de motores y turbinas, excepto motores para aeronaves, vehiculos automotores y motocicletas
2912;Fabricacion de bombas, compresores, grifos y valvulas
2913;Fabricacion de cojinetes, engranajes, trenes de engranajes y piezas de transmision
2914;Fabricacion de hornos, hogares y quemadores industriales
2915;Fabricacion de equipo de elevacion y manipulacion
2919;Fabricacion de otros tipos de maquinaria de uso general ncp
2920;Fabricación de carrocerías para vehículo automotores, fabricación de remolques y semirremolques.
2921;Fabricacion de maquinaria agropecuaria y forestal
2922;Fabricacion de maquinas herramientas
2923;Fabricacion de maquinaria para la metalurgia
2924;Fabricacion de maquinaria para la explotacion de minas y canteras y para la construccion
2925;Fabricacion de maquinaria para la elaboracion de alimentos, bebidas y tabaco
2926;Fabricacion de maquinaria para la elaboracion de productos textiles, prendas de vestir y cueros
2927;Fabricacion de armas y municiones
2929;Fabricacion de otros tipos de maquinaria de uso especial ncp
2930;Fabricación de partes, piezas (autopartes) y accesorios (lujos) para vehículo automotores.
3000;Fabricacion de maquinaria de oficina, contabilidad e informatica
3011;Construcción de barcos y de estructuras flotantes.
3012;Construcción de embarcaciones de recreo y deporte.
3020;Fabricación de locomotoras y de material rodante para ferrocarriles.
3030;Fabricación de aeronaves, naves espaciales y de maquinaria conexa.
3040;Fabricación de vehículo militares de combate.
3091;Fabricación de motocicletas.
3092;Fabricación de bicicletas y de sillas de ruedas para personas con discapacidad.
3099;Fabricación de otros tipos de equipo de transporte n.c.p.
3110;Fabricación de muebles.
3120;Fabricación de colchones y somieres.
3130;Fabricacion de hilos y cables aislados
3140;Fabricacion de acumuladores y de pilas electricas
3150;Fabricacion de lamparas electricas y equipos de iluminacion
3190;Fabricacion de otros tipos de equipo electrico ncp
3210;Fabricación de joyas, bisuter y articulos conexos.
3220;Fabricación de instrumentos musicales.
3230;Fabricación de articulos y equipo para la práctica del deporte.
3250;Fabricación de instrumentos, aparatos y materiales mdicos y odontológicos (incluido mobiliario).
3290;Otras industrias manufactureras n.c.p.
3311;Mantenimiento y reparación especializado de productos elaborados en metal.
3312;Mantenimiento y reparación especializado de maquinaria y equipo.
3313;Mantenimiento y reparación especializado de equipo electrónico y óptico.
3314;Mantenimiento y reparación especializado de equipo elctrico.
3315;Mantenimiento y reparación especializado de equipo de transporte, excepto los vehículo automotores, motocicletas y bicicletas.
3319;Mantenimiento y reparación de otros tipos de equipos y sus componentes n.c.p.
3320;Instalación especializada de maquinaria y equipo industrial.
3330;Fabricacion de relojes
3410;Fabricacion de vehiculos automotores y sus motores
3420;Fabricacion de carrocerias para vehiculos automotores fabricacion de remolques y semirremolques
3430;Fabricacion de partes, piezas (autopartes) y accesorios (lujos) para vehiculos automotores y para sus motores
3511;Generación de energía electrica.
3512;Transmisión de energía electrica.
3513;Distribución de energía electrica.
3514;Comercialización de energía electrica.
3520;Producción de gas, distribución de combustibles gaseosos por tuberías.
3530;Suministro de vapor y aire acondicionado.
3591;Fabricacion de motocicletas
3592;Fabricacion de bicicletas y de sillones de ruedas para discapacitados
3599;Fabricacion de otros tipos de equipo de transporte ncp
3600;Captación, tratamiento y distribución de agua.
3611;Fabricacion de muebles para el hogar
3612;Fabricacion de muebles para la oficina
3613;Fabricacion de muebles para comercio y servicios
3614;Fabricacion de colchones y somieres
3619;Fabricacion de otros muebles ncp
3691;Fabricacion de joyas y de articulos conexos
3692;Fabricacion de instrumentos musicales
3693;Fabricacion de articulos deportivos
3694;Fabricacion de juegos y juguetes
3699;Otras industrias manufactureras ncp
3700;Evacuación y tratamiento de aguas residuales.
3710;Reciclaje de desperdicios y de desechos metalicos
3720;Reciclaje de desperdicios y desechos no metalicos
3811;Recolección de desechos no peligrosos.
3812;Recolección de desechos peligrosos.
3821;Tratamiento y disposición de desechos no peligrosos.
3822;Tratamiento y disposición de desechos peligrosos.
3830;Recuperación de materiales.
3900;Actividades de saneamiento ambiental y otros servicios de gestión de desechos.
4010;Generacion, captacion, transmision y distribucion de energia electrica
4020;Fabricacion de gas distribucion de combustibles gaseosos por tuberias
4030;Suministro de vapor y agua caliente
4100;Captacion, depuracion y distribucion de agua
4111;Construcción de edificios residenciales.
4112;Construcción de edificios no residenciales.
4210;Construcción de carreteras y vs de ferrocarril.
4220;Construcción de proyectos de servicio público.
4290;Construcción de otras obras de ingenier civil.
4311;Demolición.
4312;Preparación del terreno.
4321;Instalaciones eléctricas.
4322;Instalaciones de fontaner, calefacción y aire acondicionado.
4329;Otras instalaciones especializadas.
4330;Terminación y acabado de edificios y obras de ingenier civil.
4390;Otras actividades especializadas para la construcción de edificios y obras de ingenier civil.
4511;Comercio de vehículo automotores nuevos.
4512;Comercio de vehículo automotores usados.
4520;Mantenimiento y reparación de vehículo automotores.
4521;Construccion de edificaciones para uso residencial
4522;Construccion de edificaciones para uso no residencial
4530;Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículo automotores.
4541;Comercio de motocicletas y de sus partes, piezas y accesorios.
4542;Mantenimiento y reparación de motocicletas y de sus partes y piezas.
4543;Trabajos de instalacion de equipos
4549;Otros trabajos de acondicionamiento
4551;Instalacion de vidrios y ventanas
4552;Trabajos de pintura y terminacion de muros y pisos
4559;Otros trabajos de terminacion y acabado
4560;Alquiler de equipo para construccion y demolicion dotado de operarios
4610;Comercio al por mayor a cambio de una retribución o por contrata.
4620;Comercio al por mayor de materias primas agropecuarias, animales vivos.
4631;Comercio al por mayor de productos alimenticios.
4632;Comercio al por mayor de bebidas y tabaco.
4641;Comercio al por mayor de productos textiles, productos confeccionados para uso domstico.
4642;Comercio al por mayor de prendas de vestir.
4643;Comercio al por mayor de calzado.
4644;Comercio al por mayor de aparatos y equipo de uso domstico.
4645;Comercio al por mayor de productos farmacuticos, medicinales, cosmticos y de tocador.
4649;Comercio al por mayor de otros utensilios domsticos n.c.p.
4651;Comercio al por mayor de computadores, equipo perifrico y programas de informatica.
4652;Comercio al por mayor de equipo, partes y piezas electrónicos y de telecomunicaciones.
4653;Comercio al por mayor de maquinaria y equipo agropecuarios.
4659;Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.
4661;Comercio al por mayor de combustibles sólidos, luidos, gaseosos y productos conexos.
4662;Comercio al por mayor de metales y productos metaleros.
4663;Comercio al por mayor de materiales de construcción, articulos de ferreteria, pinturas, productos de vidrio, equipo y materiales de fontaner y calefacción.
4664;Comercio al por mayor de productos quimicos básicos, cauchos y plasticos en formas primarias y productos quimicos de uso agropecuario.
4665;Comercio al por mayor de desperdicios, desechos y chatarra.
4669;Comercio al por mayor de otros productos n.c.p.
4690;Comercio al por mayor no especializado.
4711;Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco.
4719;Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (veres en general), bebidas y tabaco.
4721;Comercio al por menor de productos agrolas para el consumo en establecimientos especializados.
4722;Comercio al por menor de leche, productos lacteos y huevos, en establecimientos especializados.
4723;Comercio al por menor de carnes (incluye aves de corral), productos cárnicos, pescados y productos de mar, en establecimientos especializados.
4724;Comercio al por menor de bebidas y productos del tabaco, en establecimientos especializados.
4729;Comercio al por menor de otros productos alimenticios n.c.p., en establecimientos especializados.
4731;Comercio al por menor de combustible para automotores.
4732;Comercio al por menor de lubricantes (aceites, grasas), aditivos y productos de limpieza para vehículo automotores.
4741;Comercio al por menor de computadores, equipos perifricos, programas de informatica y equipos de telecomunicaciones en establecimientos especializados.
4742;Comercio al por menor de equipos y aparatos de sonido y de video, en establecimientos especializados.
4751;Comercio al por menor de productos textiles en establecimientos especializados.
4752;Comercio al por menor de articulos de ferreteria, pinturas y productos de vidrio en establecimientos especializados.
4753;Comercio al por menor de tapices, alfombras y cubrimientos para paredes y pisos en establecimientos especializados.
4754;Comercio al por menor de electrodomsticos y gasodomsticos de uso domstico, muebles y equipos de iluminación.
4755;Comercio al por menor de articulos y utensilios de uso domstico.
4759;Comercio al por menor de otros articulos domsticos en establecimientos especializados.
4761;Comercio al por menor de libros, periódicos, materiales y articulos de papeler y escritorio, en establecimientos especializados.
4762;Comercio al por menor de articulos deportivos, en establecimientos especializados.
4769;Comercio al por menor de otros articulos culturales y de entretenimiento n.c.p. en establecimientos especializados.
4771;Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel) en establecimientos especializados.
4772;Comercio al por menor de todo tipo de calzado y articulos de cuero y sucedneos del cuero en establecimientos especializados.
4773;Comercio al por menor de productos farmacuticos y medicinales, cosmticos y articulos de tocador en establecimientos especializados.
4774;Comercio al por menor de otros productos nuevos en establecimientos especializados.
4775;Comercio al por menor de articulos de segunda mano.
4781;Comercio al por menor de alimentos, bebidas y tabaco, en puestos de venta móviles.
4782;Comercio al por menor de productos textiles, prendas de vestir y calzado, en puestos de venta móviles.
4789;Comercio al por menor de otros productos en puestos de venta móviles.
4791;Comercio al por menor realizado a travs de internet.
4792;Comercio al por menor realizado a travs de casas de venta o por correo.
4799;Otros tipos de comercio al por menor no realizado en establecimientos, puestos de venta o mercados.
4911;Transporte férreo de pasajeros.
4912;Transporte férreo de carga.
4921;Transporte de pasajeros.
4922;Transporte mixto.
4923;Transporte de carga por carretera.
4930;Transporte por tuberías.
5011;Transporte de pasajeros marimo y de cabotaje.
5012;Transporte de carga marimo y de cabotaje.
5020;Mantenimiento y reparacion de vehiculos automotores
5021;Transporte fluvial de pasajeros.
5022;Transporte fluvial de carga.
5030;Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehiculos automotores
5040;Comercio, mantenimiento y reparacion de motocicletas y de sus partes, piezas y accesorios
5051;Comercio al por menor de combustible para automotores
5052;Comercio al por menor de lubricantes (aceites, grasas), aditivos y productos de limpieza para vehiculos automotores
5111;Transporte aéreo nacional de pasajeros.
5112;Transporte aéreo internacional de pasajeros.
5113;Comercio al por mayor a cambio de una retribucion o por contrata de productos manufacturados
5119;Comercio al por mayor a cambio de una retribucion o por contrata de productos ncp
5121;Transporte aéreo nacional de carga.
5122;Transporte aéreo internacional de carga.
5123;Comercio al por mayor de flores y plantas ornamentales
5124;Comercio al por mayor de materias primas pecuarias y de animales vivos y sus productos
5125;Comercio al por mayor de productos alimenticios, excepto cafe trillado
5126;Comercio al por mayor de cafe trillado
5127;Comercio al por mayor de bebidas y productos del tabaco
5131;Comercio al por mayor de productos textiles y productos confeccionados para uso domestico
5132;Comercio al por mayor de prendas de vestir, accesorios de prendas de vestir y articulos elaborados en piel
5133;Comercio al por mayor de calzado
5134;Comercio al por mayor de aparatos, articulos y equipos de uso domestico
5135;Comercio al por mayor de productos farmaceuticos, medicinales, cosmeticos y de tocador
5136;Comercio al por mayor de equipos medicos y quirurgicos y de aparatos ortesicos y protesicos
5137;Comercio al por mayor de papel y carton, productos de papel y carton
5139;Comercio al por mayor de otros productos de consumo ncp
5141;Comercio al por mayor de materiales de construccion, ferreteria y vidrio
5142;Comercio al por mayor de pinturas y productos conexos
5151;Comercio al por mayor de combustibles solidos, liquidos, gaseosos y productos conexos
5152;Comercio al por mayor de metales y minerales metaliferos en formas primarias
5153;Comercio al por mayor de productos quimicos basicos, plasticos y caucho en formas primarias y productos quimicos de uso agropecuario
5154;Comercio al por mayor de fibras textiles
5155;Comercio al por mayor de desperdicios o desechos industriales y material para reciclaje
5159;Comercio al por mayor de otros productos intermedios ncp
5161;Comercio al por mayor de maquinaria y equipo para la agricultura, mineria, construccion y la industria
5162;Comercio al por mayor de equipo de transporte, excepto vehiculos automotores y motocicletas
5163;Comercio al por mayor de maquinaria para oficina, contabilidad e informatica
5169;Comercio al por mayor de maquinaria y equipo ncp
5170;Mantenimiento y reparacion de maquinaria y equipo
5190;Comercio al por mayor de productos diversos ncp
5210;Almacenamiento y depósito.
5211;Comercio al por menor, en establecimientos no especializados, con surtido compuesto principalmente de alimentos (viveres en general), bebidas y tabaco
5219;Comercio al por menor en establecimientos no especializados, con surtido compuesto principalmente por productos diferentes de alimentos (viveres en general), bebidas y tabaco
5221;Actividades de estaciones, vs y servicios complementarios para el transporte terrestre.
5222;Actividades de puertos y servicios complementarios para el transporte acutico.
5223;Actividades de aeropuertos, servicios de navegación area y dems actividades conexas al transporte aéreo.
5224;Manipulación de carga.
5225;Comercio al por menor de bebidas y productos del tabaco, en establecimientos especializados
5229;Otras actividades complementarias al transporte.
5231;Comercio al por menor de productos farmaceuticos, medicinales y odontologicos, articulos de perfumeria, cosmeticos y de tocador, en establecimientos especializados
5232;Comercio al por menor de productos textiles, en establecimientos especializados
5233;Comercio al por menor de prendas de vestir y sus accesorios (incluye articulos de piel), en establecimientos especializados
5234;Comercio al por menor de todo tipo de calzado, articulos de cuero y sucedaneos del cuero, en establecimientos especializados
5235;Comercio al por menor de electrodomesticos, en establecimientos especializados
5236;Comercio al por menor de muebles para el hogar, en establecimientos especializados
5237;Comercio al por menor de equipo y articulos de uso domestico diferentes de electrodomesticos y muebles para el hogar, en establecimientos especializados
5239;Comercio al por menor de productos nuevos de consumo domestico ncp, en establecimientos especializados
5241;Comercio al por menor de materiales de construccion, articulos de ferreteria, cerrajeria y productos de vidrio, excepto pinturas en, establecimientos especializados
5242;Comercio al por menor de pinturas, en establecimientos especializados
5243;Comercio al por menor de muebles para oficina, maquinaria y equipo de oficina, computadores y programas de computador, en establecimientos especializados
5244;Comercio al por menor de libros, periodicos, materiales y articulos de papeleria y escritorio, en establecimientos especializados
5245;Comercio al por menor de equipo fotografico, en establecimientos especializados
